Basis,Shrinkwrap,adjustments,brow_center_DN,brow_center_UP,brow_inner_DN.L,brow_inner_DN.R,brow_inner_UP.L,brow_inner_UP.R,brow_outer_DN.L,brow_outer_DN.R,brow_outer_UP.L,brow_outer_up.R,eye-blink.LO.L,eye-blink.LO.R,eye-blink.UP.L,eye-blink.UP.R,eye-flare.LO.L,eye-flare.LO.R,eye-flare.UP.L,eye-flare.UP.R,eyes-look.dn,eyes-look.up,jaw,lip-DN.C.DN,lip-DN.C.UP,lip-DN.L.DN,lip-DN.L.UP,lip-DN.R.DN,lip-DN.R.UP,lip-JAW.DN,lip-UP.C.DN,lip-UP.C.UP,lip-UP.L.DN,lip-UP.L.UP,lip-UP.R.DN,lip-UP.R.UP,lips-frown.L,lips-frown.R,lips-narrow.L,lips-narrow.R,lips-smile.L,lips-smile.R,lips-wide.L,lips-wide.R,sneer.L,sneer.R,wince.L,wince.R
0.0,1.0,1.0,0.0,0.006504356861114502,0.0,0.0,0.009900331497192383,0.009900331497192383,0.0,0.0,0.0,0.0,0.0,0.0,0.03208880499005318,0.03208284452557564,0.05622529610991478,0.05748146399855614,0.0,0.0,0.0,0.0,0.0,0.0,0.0006526708602905273,0.0,0.0009126961231231689,0.0,0.0011786818504333496,0.0,0.0,0.0004172325134277344,0.0,0.0035330653190612793,0.0,0.0004172325134277344,0.0,0.0,0.0,0.0,0.00113658607006073,0.0015564262866973877,0.0,0.0,0.0,0.0,0.0008001923561096191,0.0006705522537231445
0.0,1.0,1.0,0.0,0.011920928955078125,0.0,0.0,0.019900500774383545,0.019900500774383545,0.0,0.0,0.0035062432289123535,0.0019252300262451172,0.0,0.0,0.02960626594722271,0.02915029041469097,0.05350881442427635,0.05576186999678612,0.0,0.0,0.0,0.0,0.0012252073734998704,0.0025451183319091797,0.0,0.0,0.00021085143089294434,0.0,0.0004775822162628174,0.0,0.0,0.006875395774841309,0.0,0.009766221046447754,0.0,0.006648898124694824,0.0,0.0,0.0,0.0,0.011136941611766815,0.01155957579612732,0.0,0.00993870198726654,0.0,0.0,0.005951523780822754,0.004403293132781982
0.0,1.0,1.0,0.0,0.017344951629638672,0.0,0.0,0.029900670051574707,0.029903650283813477,0.0,0.0,0.0070154666900634766,0.0038608908653259277,0.0,0.0,0.027126716449856758,0.02622072584927082,0.05079679191112518,0.054037805646657944,0.0,0.0,0.0,0.0,0.002450414746999741,0.005745142698287964,0.0,0.000486522912979126,0.0,0.00022351741790771484,0.0,0.004366040229797363,0.0,0.013338029384613037,0.0,0.01599937677383423,0.0,0.01287907361984253,0.0,0.0,0.0,0.0,0.021136924624443054,0.021555274724960327,0.0,0.019879639148712158,0.0,0.0,0.011101365089416504,0.00813901424407959
0.0,1.0,1.0,0.0,0.022764503955841064,0.0,0.0,0.03990083932876587,0.03990083932876587,0.0,0.0,0.01051872968673706,0.005792081356048584,0.0,0.0,0.024644171819090843,0.023292673751711845,0.04807436093688011,0.052312251180410385,0.0,0.0,0.0,0.0,0.003675622120499611,0.008943676948547363,0.0,0.0011868774890899658,0.0,0.0009268522262573242,0.0,0.008655339479446411,0.0,0.019793212413787842,0.0,0.022234022617340088,0.0,0.01911371946334839,0.0,0.0,0.0,0.0,0.0311361625790596,0.03155730664730072,0.0,0.029820017516613007,0.0,0.0,0.016255676746368408,0.011871755123138428
0.0,1.0,1.0,0.0,0.028184056282043457,0.0,0.0,0.049902498722076416,0.04990100860595703,0.0,0.0,0.014027953147888184,0.00772327184677124,0.0,0.0,0.022166119888424873,0.020355628803372383,0.04536084085702896,0.05059116706252098,0.0,0.0,0.0,0.0,0.004900829909718595,0.012142956256866455,0.0,0.0018872320652008057,0.0,0.0016279518604278564,0.0,0.012943893671035767,0.0,0.0262528657913208,0.0,0.028464198112487793,0.0,0.02534240484237671,0.0,0.0,0.0,0.0,0.041136518120765686,0.041556358337402344,0.0,0.03976011648774147,0.0,0.0,0.021411478519439697,0.015610456466674805
0.0,1.0,1.0,0.0,0.03360360860824585,0.0,0.0,0.05990266799926758,0.05989968776702881,0.0,0.0,0.017528235912322998,0.009652972221374512,0.0,0.0,0.01968507654964924,0.01742457039654255,0.042641375213861465,0.04886561259627342,0.0,0.0,0.0,0.0,0.006126037283218466,0.015342235565185547,0.0,0.0025898218154907227,0.0,0.002327561378479004,0.0,0.017233937978744507,0.0,0.032708048820495605,0.0,0.03469735383987427,0.0,0.03158003091812134,0.0,0.0,0.0,0.0,0.05113501101732254,0.05155801773071289,0.0,0.04969919100403786,0.0,0.0,0.026559829711914062,0.019346177577972412
0.0,1.0,1.0,0.0,0.039027631282806396,0.0,0.0,0.06990283727645874,0.06989985704421997,0.0,0.0,0.021038949489593506,0.011584162712097168,0.0,0.0,0.01719954051077366,0.014499523676931858,0.03992938622832298,0.04714307561516762,0.0,0.0,0.0,0.0,0.00735124507243745,0.018540769815444946,0.0,0.0032901763916015625,0.0,0.003028661012649536,0.0,0.021521002054214478,0.0,0.039170682430267334,0.0,0.04093050956726074,0.0,0.03781318664550781,0.0,0.0,0.0,0.0,0.06113555282354355,0.06155632436275482,0.0,0.05964003503322601,0.0,0.0,0.03171414136886597,0.02308189868927002
0.0,1.0,1.0,0.0,0.04444718360900879,0.0,0.0,0.07990002632141113,0.07990002632141113,0.0,0.0,0.02453923225402832,0.013515353202819824,0.0,0.0,0.014722989872097969,0.01156847458332777,0.03721287101507187,0.04542195424437523,0.0,0.0,0.0,0.0,0.008576451614499093,0.021741539239883423,0.0,0.003990530967712402,0.0,0.0037282705307006836,0.0,0.025809556245803833,0.0,0.04562884569168091,0.0,0.04716068506240845,0.0,0.04404187202453613,0.0,0.0,0.0,0.0,0.07113460451364517,0.07155761122703552,0.0,0.06957994401454926,0.0,0.0,0.03686100244522095,0.026817619800567627
0.0,1.0,1.0,0.0,0.04986375570297241,0.0,0.0,0.08989870548248291,0.0899001955986023,0.0,0.0,0.028051435947418213,0.015445053577423096,0.0,0.0,0.012241946533322334,0.008631395176053047,0.03449344262480736,0.04369639977812767,0.0,0.0,0.0,0.0,0.009801658156560734,0.024938583374023438,0.0,0.004690885543823242,0.0,0.004431605339050293,0.0,0.03009885549545288,0.0,0.05208998918533325,0.0,0.05339682102203369,0.0,0.05027353763580322,0.0,0.0,0.0,0.0,0.08113551884889603,0.08155815303325653,0.0,0.07952079176902771,0.0,0.0,0.04201829433441162,0.030550360679626465
0.0,1.0,1.0,0.0,0.055283308029174805,0.0,0.0,0.09990036487579346,0.09990185499191284,0.0,0.0,0.03155618906021118,0.017376244068145752,0.0,0.0,0.009762458503246307,0.005700336769223213,0.03177696093916893,0.04197677969932556,0.0,0.0,0.0,0.0,0.011026866361498834,0.028137117624282837,0.0,0.005391240119934082,0.0,0.005132704973220825,0.0,0.034387409687042236,0.0,0.05854964256286621,0.0,0.05962848663330078,0.0,0.05650520324707031,0.0,0.0,0.0,0.0,0.09113382548093796,0.09155794978141785,0.0,0.0894598662853241,0.0,0.0,0.047166645526885986,0.03429204225540161
