Basis,Shrinkwrap,adjustments,brow_center_DN,brow_center_UP,brow_inner_DN.L,brow_inner_DN.R,brow_inner_UP.L,brow_inner_UP.R,brow_outer_DN.L,brow_outer_DN.R,brow_outer_UP.L,brow_outer_up.R,eye-blink.LO.L,eye-blink.LO.R,eye-blink.UP.L,eye-blink.UP.R,eye-flare.LO.L,eye-flare.LO.R,eye-flare.UP.L,eye-flare.UP.R,eyes-look.dn,eyes-look.up,jaw,lip-DN.C.DN,lip-DN.C.UP,lip-DN.L.DN,lip-DN.L.UP,lip-DN.R.DN,lip-DN.R.UP,lip-JAW.DN,lip-UP.C.DN,lip-UP.C.UP,lip-UP.L.DN,lip-UP.L.UP,lip-UP.R.DN,lip-UP.R.UP,lips-frown.L,lips-frown.R,lips-narrow.L,lips-narrow.R,lips-smile.L,lips-smile.R,lips-wide.L,lips-wide.R,sneer.L,sneer.R,wince.L,wince.R
0.0,1.0,1.0,0.0,0.006504356861114502,0.0,0.0,0.009900331497192383,0.009900331497192383,0.0,0.0,0.0,0.0,0.0,0.0,0.03208880499005318,0.03208284452557564,0.05622529610991478,0.05748146399855614,0.0,0.0,0.0,0.0,0.0,0.0,0.0006526708602905273,0.0,0.0009126961231231689,0.0,0.0011786818504333496,0.0,0.0,0.0004172325134277344,0.0,0.0035330653190612793,0.0,0.0004172325134277344,0.0,0.0,0.0,0.0,0.00113658607006073,0.0015564262866973877,0.0,0.0,0.0,0.0,0.0008001923561096191,0.0006705522537231445
0.0,1.0,1.0,0.0,0.016504526138305664,0.0,0.0,0.0013932585716247559,0.0012159347534179688,0.005607306957244873,0.0038370490074157715,0.0,0.0,0.0,0.0,0.026916610077023506,0.02692406065762043,0.052865102887153625,0.055784232914447784,0.0,0.0,0.0,0.0,0.0,0.0,0.00742003321647644,0.0007480382919311523,0.0,0.0030934810638427734,0.0,0.0,0.0,0.0027060508728027344,0.0,0.00743865966796875,0.0,0.0026360154151916504,0.0004205852746963501,0.0020623207092285156,0.0,0.0,0.0016821548342704773,0.00155717134475708,0.0,0.0007797032594680786,0.0,0.0022783875465393066,0.001958012580871582,0.0036716461181640625
0.0,1.0,1.0,0.0,0.026507675647735596,0.007113814353942871,0.007474422454833984,0.0,0.0,0.011213123798370361,0.007662177085876465,0.0,0.0,0.0,0.0,0.021738456562161446,0.021766768768429756,0.049516793340444565,0.05408995971083641,0.0,0.0,0.0,0.0,0.0,0.0,0.014188140630722046,0.0024087727069854736,0.0,0.0073656439781188965,0.0,0.0,0.0,0.004996359348297119,0.0,0.011342763900756836,0.0,0.004856288433074951,0.0015635043382644653,0.0041231513023376465,0.0,0.0,0.002232380211353302,0.0015579164028167725,0.0,0.0015601515769958496,0.00022649765014648438,0.004458427429199219,0.0030547380447387695,0.006651878356933594
0.0,1.0,1.0,0.0,0.03650486469268799,0.015620887279510498,0.016160309314727783,0.0,0.0,0.016817450523376465,0.011493265628814697,0.0,0.0,0.0,0.0,0.016563283279538155,0.016607986763119698,0.04616105183959007,0.05239124596118927,0.0,0.0,0.0,0.0,0.0,0.0,0.02095550298690796,0.00407099723815918,0.0,0.011637061834335327,0.0,0.0,0.0,0.00728219747543335,0.0,0.015248358249664307,0.0,0.007075071334838867,0.0032994896173477173,0.0061843544244766235,0.0,0.0,0.0027820467948913574,0.0015573576092720032,0.0,0.0023402273654937744,0.0005140900611877441,0.006556510925292969,0.004087388515472412,0.009609758853912354
0.0,1.0,1.0,0.0,0.046503543853759766,0.024130940437316895,0.024847686290740967,0.0,0.0,0.022427737712860107,0.01532435417175293,0.0,0.0,0.0,0.0,0.011385129764676094,0.011450755409896374,0.04280826821923256,0.05069844424724579,0.0,0.0,0.0,0.0,0.0,0.0,0.027722865343093872,0.005730241537094116,0.0,0.015907734632492065,0.0,0.0,0.0,0.00957101583480835,0.0,0.019153952598571777,0.0,0.009295344352722168,0.005526840686798096,0.00824667513370514,0.0,0.0,0.0033294782042503357,0.0015584751963615417,0.0,0.003119930624961853,0.0009164214134216309,0.008559226989746094,0.005060434341430664,0.012546777725219727
0.0,1.0,1.0,0.0,0.05650371313095093,0.03263503313064575,0.03353506326675415,0.0,0.0,0.028033554553985596,0.019155442714691162,0.0,0.0,0.0,0.0,0.006212936714291573,0.006294969003647566,0.03945251926779747,0.04899677261710167,0.0,0.0,0.0,0.0,0.0,0.0,0.034490227699279785,0.007389485836029053,0.0,0.020181387662887573,0.0,0.0,0.0,0.011858344078063965,0.0,0.023061037063598633,0.0,0.011514127254486084,0.008174777030944824,0.010308623313903809,0.0,0.0,0.003875419497489929,0.0015581026673316956,0.0,0.003899727016687393,0.0014454126358032227,0.010478496551513672,0.005969405174255371,0.015462934970855713
0.0,1.0,1.0,0.0,0.06650388240814209,0.04114210605621338,0.042222440242767334,0.0,0.0,0.03364086151123047,0.022989511489868164,0.0,0.0,0.0,0.0,0.0010377635480836034,0.001139182597398758,0.036092404276132584,0.0473024807870388,0.0,0.0,0.0,0.0,0.0,0.0,0.0412575900554657,0.009053200483322144,0.0,0.024453550577163696,0.0,0.0,0.0,0.014147162437438965,0.0,0.026963651180267334,0.0,0.013731420040130615,0.011178851127624512,0.012370198965072632,0.0,0.0,0.004425272345542908,0.0015556812286376953,0.0,0.00468054786324501,0.0020951032638549805,0.012317299842834473,0.006826221942901611,0.018356740474700928
0.0,1.0,1.0,0.0,0.07650405168533325,0.049649178981781006,0.05090832710266113,0.0,0.0,0.03924965858459473,0.026817619800567627,0.0,0.0,0.0,0.0,0.0,0.0,0.032742634415626526,0.04560372978448868,0.0041374098509550095,0.004024161025881767,0.0,0.0,0.0,0.0,0.04802718758583069,0.01071244478225708,0.0,0.028724968433380127,0.0,0.0,0.0,0.01643449068069458,0.0,0.030875205993652344,0.0,0.0159531831741333,0.014498084783554077,0.01443028450012207,0.0,0.0,0.004973262548446655,0.0015573576092720032,0.0,0.005459412932395935,0.002866983413696289,0.014068186283111572,0.007623434066772461,0.02123117446899414
0.0,1.0,1.0,0.0,0.08650720119476318,0.0581592321395874,0.059595704078674316,0.0,0.0,0.044855475425720215,0.030650198459625244,0.0,0.0,0.0,0.0,0.0,0.0,0.02939128503203392,0.04390650615096092,0.00931556336581707,0.00918449368327856,0.0,0.0,0.0,0.0,0.054795295000076294,0.012373179197311401,0.0,0.03299713134765625,0.0,0.0,0.0,0.01872330904006958,0.0,0.03477334976196289,0.0,0.0181734561920166,0.018095597624778748,0.016494467854499817,0.0,0.0,0.005522370338439941,0.0015573576092720032,0.0,0.0062406063079833984,0.003764033317565918,0.015747547149658203,0.008369982242584229,0.02408623695373535
0.0,1.0,1.0,0.0,0.09650290012359619,0.06666481494903564,0.06828159093856812,0.0,0.0,0.05046278238296509,0.03447830677032471,0.0,0.0,0.0,0.0,0.0,0.0,0.02603256329894066,0.042212244123220444,0.014486128464341164,0.01434321515262127,0.0,0.0,0.0,0.0,0.06156116724014282,0.014036893844604492,0.0,0.03727078437805176,0.0,0.0,0.0,0.02101212739944458,0.0,0.038680434226989746,0.0,0.020392239093780518,0.021937862038612366,0.018555298447608948,0.0,0.0,0.006071105599403381,0.00155717134475708,0.0,0.007018912583589554,0.0047907233238220215,0.017346441745758057,0.00905841588973999,0.02692490816116333
0.0,1.0,1.0,0.0,0.10650455951690674,0.07517486810684204,0.07697045803070068,0.0,0.0,0.056071579456329346,0.03830939531326294,0.0,0.0,0.0,0.0,0.0,0.0,0.022681238129734993,0.040512021631002426,0.019664419814944267,0.01949603669345379,0.0,0.0,0.0,0.0,0.06833001971244812,0.015695393085479736,0.0,0.04154220223426819,0.0,0.0,0.0,0.023302435874938965,0.0,0.042589008808135986,0.0,0.02261251211166382,0.025999173521995544,0.020616501569747925,0.0,0.0,0.006618164479732513,0.0015586614608764648,0.0,0.007799360901117325,0.0059410929679870605,0.01887977123260498,0.009705126285552979,0.029744207859039307
