Basis,Shrinkwrap,adjustments,brow_center_DN,brow_center_UP,brow_inner_DN.L,brow_inner_DN.R,brow_inner_UP.L,brow_inner_UP.R,brow_outer_DN.L,brow_outer_DN.R,brow_outer_UP.L,brow_outer_up.R,eye-blink.LO.L,eye-blink.LO.R,eye-blink.UP.L,eye-blink.UP.R,eye-flare.LO.L,eye-flare.LO.R,eye-flare.UP.L,eye-flare.UP.R,eyes-look.dn,eyes-look.up,jaw,lip-DN.C.DN,lip-DN.C.UP,lip-DN.L.DN,lip-DN.L.UP,lip-DN.R.DN,lip-DN.R.UP,lip-JAW.DN,lip-UP.C.DN,lip-UP.C.UP,lip-UP.L.DN,lip-UP.L.UP,lip-UP.R.DN,lip-UP.R.UP,lips-frown.L,lips-frown.R,lips-narrow.L,lips-narrow.R,lips-smile.L,lips-smile.R,lips-wide.L,lips-wide.R,sneer.L,sneer.R,wince.L,wince.R
0.0,1.0,1.0,0.0,0.006504356861114502,0.0,0.0,0.009900331497192383,0.009900331497192383,0.0,0.0,0.0,0.0,0.0,0.0,0.03208880499005318,0.03208284452557564,0.05622529610991478,0.05748146399855614,0.0,0.0,0.0,0.0,0.0,0.0,0.0006526708602905273,0.0,0.0009126961231231689,0.0,0.0011786818504333496,0.0,0.0,0.0004172325134277344,0.0,0.0035330653190612793,0.0,0.0004172325134277344,0.0,0.0,0.0,0.0,0.00113658607006073,0.0015564262866973877,0.0,0.0,0.0,0.0,0.0008001923561096191,0.0006705522537231445
0.0,1.0,1.0,0.0,0.010737776756286621,0.0,0.0,0.019903481006622314,0.019900500774383545,0.009997189044952393,0.0070601701736450195,0.0,0.0,0.0,0.0,0.022088633850216866,0.022082673385739326,0.05391859635710716,0.054252397269010544,0.0,0.0,0.0,0.0,0.0013733911792805885,0.0006809830665588379,0.0,0.0,0.00012740492820739746,0.0016830861568450928,0.0,0.000597536563873291,0.0,0.004507601261138916,0.0,0.008305907249450684,0.0,0.002828240394592285,0.00047460198402404785,0.010000169277191162,0.0,0.0,0.0011382624506950378,0.0015566125512123108,0.0,0.0,0.0,0.0,0.0027924776077270508,0.004647672176361084
0.0,1.0,1.0,0.0,0.01497417688369751,0.0,0.0,0.029900670051574707,0.029900670051574707,0.020000338554382324,0.014120340347290039,0.0,0.0,0.0,0.0,0.012088464573025703,0.012080985121428967,0.0516163669526577,0.05102034658193588,0.0,0.0,0.0,0.0,0.002746782358561177,0.0020138919353485107,0.0,0.0006593763828277588,0.0,0.004544109106063843,0.0,0.0054039061069488525,0.0,0.008596479892730713,0.0,0.013077259063720703,0.0,0.005240738391876221,0.0018149614334106445,0.019999966025352478,0.0,0.0,0.0011356547474861145,0.0015579164028167725,0.0,0.0,0.0,0.0,0.004783272743225098,0.008632242679595947
0.0,1.0,1.0,0.0,0.019213557243347168,0.0,0.0,0.0398978590965271,0.03990083932876587,0.0299990177154541,0.021179020404815674,0.0,0.0,0.0,0.0,0.0020882952958345413,0.0020823348313570023,0.04931264743208885,0.047798674553632736,0.0,0.0,0.0,0.0,0.004120173433911987,0.003347545862197876,0.0,0.0014483928680419922,0.0,0.00740736722946167,0.0,0.010211020708084106,0.0,0.012686848640441895,0.0,0.017850100994110107,0.0,0.0076517462730407715,0.003924965858459473,0.030000880360603333,0.0,0.0,0.0011354684829711914,0.0015573576092720032,0.0,0.0,0.0,0.0,0.006775557994842529,0.012609362602233887
0.0,1.0,1.0,0.0,0.023448467254638672,0.0,0.0,0.049902498722076416,0.04989653825759888,0.04000216722488403,0.028239190578460693,0.0,0.0,0.0,0.0,0.0,0.0,0.04700300469994545,0.04456816241145134,0.007913364097476006,0.007916344329714775,0.0,0.0,0.0054935651328414685,0.004680454730987549,0.0,0.0022336840629577637,0.0,0.010269135236740112,0.0,0.015018880367279053,0.0,0.01677572727203369,0.0,0.02262592315673828,0.0,0.010062754154205322,0.006718933582305908,0.03999955952167511,0.0,0.0,0.0011362135410308838,0.001556985080242157,0.0,0.0,0.0,0.0,0.008769333362579346,0.016589462757110596
0.0,1.0,1.0,0.0,0.02768486738204956,0.0,0.0,0.059898197650909424,0.05989968776702881,0.05000084638595581,0.03529936075210571,0.0,0.0,0.0,0.0,0.0,0.0,0.04470222815871239,0.04133312776684761,0.017913533374667168,0.017913533374667168,0.0,0.0,0.006866955584613607,0.006014108657836914,0.0,0.00302046537399292,0.0,0.013127177953720093,0.0,0.01982748508453369,0.0,0.020863115787506104,0.0,0.02739429473876953,0.0,0.012478232383728027,0.010125339031219482,0.05000196397304535,0.0,0.0,0.0011339783668518066,0.0015586614608764648,0.0,0.0,0.0,0.0,0.010755658149719238,0.020569562911987305
0.0,1.0,1.0,0.0,0.03192126750946045,0.0,0.0,0.06990432739257812,0.06990283727645874,0.05999654531478882,0.04235953092575073,0.0,0.0,0.0,0.0,0.0,0.0,0.042402978986501694,0.038106974214315414,0.02791072241961956,0.0279166828840971,0.0,0.0,0.008240346867823973,0.007347017526626587,0.0,0.003807246685028076,0.0,0.015991926193237305,0.0,0.02463310956954956,0.0,0.02495795488357544,0.0,0.03216862678527832,0.0,0.014886260032653809,0.014084205031394958,0.059999898076057434,0.0,0.0,0.0011362135410308838,0.0015579164028167725,0.0,0.0,0.0,0.0,0.012753903865814209,0.024549663066864014
0.0,1.0,1.0,0.0,0.03615468740463257,0.0,0.0,0.07990002632141113,0.07990002632141113,0.06999969482421875,0.04941821098327637,0.0,0.0,0.0,0.0,0.0,0.0,0.04009329900145531,0.0348808728158474,0.03791088983416557,0.0379183404147625,0.0,0.0,0.009613737319596112,0.008680671453475952,0.0,0.004594027996063232,0.0,0.018852204084396362,0.0,0.029440969228744507,0.0,0.02904534339904785,0.0,0.03693997859954834,0.0,0.017298758029937744,0.018546730279922485,0.07000043988227844,0.0,0.0,0.001134537160396576,0.0015573576092720032,0.0,0.0,0.0,0.0,0.014744699001312256,0.028531253337860107
0.0,1.0,1.0,0.0,0.04039257764816284,0.0,0.0,0.08990317583084106,0.08990317583084106,0.07999390363693237,0.056481361389160156,0.0,0.0,0.0,0.0,0.0,0.0,0.03779113292694092,0.03165179118514061,0.047908078879117966,0.047917019575834274,0.0,0.0,0.010987128602806479,0.010013580322265625,0.0,0.005380064249038696,0.0,0.021711736917495728,0.0,0.03424882888793945,0.0,0.03313720226287842,0.0,0.04171431064605713,0.0,0.019709765911102295,0.023464486002922058,0.07999874651432037,0.0,0.0,0.0011354684829711914,0.0015579164028167725,0.0,0.0,0.0,0.0,0.01673102378845215,0.032514333724975586
0.0,1.0,1.0,0.0,0.044630467891693115,0.0,0.0,0.09990036487579346,0.09990036487579346,0.0899970531463623,0.06354153156280518,0.0,0.0,0.0,0.0,0.0,0.0,0.03549029678106308,0.028424154967069626,0.05790798366069794,0.057918813079595566,0.0,0.0,0.012360520717455074,0.011346489191055298,0.0,0.0061668455600738525,0.0,0.024574995040893555,0.0,0.03905594348907471,0.0,0.037226080894470215,0.0,0.04648715257644653,0.0,0.022120773792266846,0.028802454471588135,0.09000003337860107,0.0,0.0,0.0011354684829711914,0.0015584751963615417,0.0,0.0,0.0,0.0,0.018727779388427734,0.03649294376373291
