Basis,Shrinkwrap,adjustments,brow_center_DN,brow_center_UP,brow_inner_DN.L,brow_inner_DN.R,brow_inner_UP.L,brow_inner_UP.R,brow_outer_DN.L,brow_outer_DN.R,brow_outer_UP.L,brow_outer_up.R,eye-blink.LO.L,eye-blink.LO.R,eye-blink.UP.L,eye-blink.UP.R,eye-flare.LO.L,eye-flare.LO.R,eye-flare.UP.L,eye-flare.UP.R,eyes-look.dn,eyes-look.up,jaw,lip-DN.C.DN,lip-DN.C.UP,lip-DN.L.DN,lip-DN.L.UP,lip-DN.R.DN,lip-JAW.DN,lip-UP.C.DN,lip-UP.C.UP,lip-UP.L.DN,lip-UP.L.UP,lip-UP.R.DN,lip-UP.R.UP,lip.DN.R.UP,lips-frown.L,lips-frown.R,lips-narrow.L,lips-narrow.R,lips-smile.L,lips-smile.R,lips-wide.L,lips-wide.R,sneer.L,sneer.R,wince.L,wince.R
0,0,1,0.0054314733,0,0,0,0,0.0099048018,0,0,0,0,0.034088593,0.03408565,0.0020644353,0.0020629093,0,0,0,0,0.4719998837,0.2267816067,0.333327284,0,0.0227563083,0.0710144639,0,0,0,0.0262752175,0,0,0.0012800097,0.0341847539,0,0.040461123,0.0013045967,0,0.0008878109,0,0.0035656616,0.0059617683,0,0.0127593372,0.0635936856,0.0709071755,0.0549167395,0.0859722495
0,0,1,0.0077858567,0,0,0,0,0.0099048018,0,0,0,0,0.0368231386,0.0368231684,0.0035915088,0.0035870103,0,0,0,0,0.4719998837,0.2272570729,0.3919057922,0,0.0263951719,0.082552433,0,0,0,0.0311166048,0,0,0.0005304813,0.0403568149,0,0.0469237566,0.0015623868,0,0.0011836903,0,0.0035651028,0.0059628859,0,0.0148592824,0.0740647316,0.0825747848,0.0639602542,0.1001238823
0,0,1,0.0103324652,0,0,0,0,0.0099003315,0,0,0,0,0.0391617231,0.0391587652,0.0052805687,0.0052775824,0,0,0,0,0.4719998837,0.2277582288,0.4529359921,0,0.0300981104,0.0943034887,0,0,0,0.0362157822,0,0.0003755093,0,0.0468075275,0,0.0535070896,0.0018421561,0,0.0015404632,0,0.0035667792,0.0059617683,0,0.0169977341,0.0847235322,0.0944584608,0.0731647015,0.1145303249
0,0,1,0.0130429864,0,0,0,0,0.0099003315,0,0,0,0,0.0413754135,0.0413739085,0.0072211982,0.0072212103,0,0,0,0,0.4719998837,0.2282793522,0.5155883347,0,0.0338040292,0.1060508192,0,0,0,0.0415086746,0,0.0014483929,0,0.0534668565,0,0.0600904226,0.0021494925,0,0.0019625616,0,0.0035656616,0.0059619546,0,0.0191361848,0.0953823328,0.1063391566,0.0823691487,0.128942728
0,0,1,0.0159084797,0,0,0,0,0.0098973513,0,0,0,0,0.0434730537,0.0434715524,0.0095579745,0.0095520569,0,0,0,0,0.4719998837,0.2288145423,0.5790082611,0,0.0374421477,0.1175880432,0,0,0,0.0469282269,0,0.0026926398,0,0.0602439046,0,0.0665552914,0.0024806708,0,0.00245339,0,0.0035660341,0.0059625134,0,0.0212361272,0.1058489084,0.1180112362,0.0914052129,0.1430884004
0,0,1,0.0188991427,0,0,0,0,0.0099033117,0,0,0,0,0.045451358,0.0454468392,0.0122793037,0.0122793093,0,0,0,0,0.4719998837,0.2293576598,0.6423486887,0,0.0409476459,0.128711015,0,0,0,0.0524282455,0,0.004118681,0,0.0670567155,0,0.0727877021,0.002836436,0,0.0030152081,0,0.0035641715,0.0059613958,0,0.0232605543,0.1159399748,0.1292616129,0.1001194119,0.1567333937
0,0,1,0.0219985843,0,0,0,0,0.0099018216,0,0,0,0,0.0472923443,0.0472894125,0.0154164331,0.0154121025,0,0,0,0,0.4719998837,0.2299027443,0.7048021779,0,0.0442653894,0.1392319798,0,0,0,0.0579312444,0,0.0057265162,0,0.0738203526,0,0.0786826015,0.0032186508,0,0.00364909,0,0.0035671517,0.0059630722,0,0.0251752641,0.1254856586,0.1398980618,0.1083642244,0.1696333289
0,0,1,0.025177002,0,0,0,0,0.0098973513,0,0,0,0,0.0490068644,0.049006734,0.0189619139,0.0189619828,0,0,0,0,0.4719998837,0.2304441333,0.7656275381,0,0.0473387539,0.1489810646,0,0,0,0.0633895397,0,0.0075206161,0,0.0804647803,0,0.0841476023,0.003625825,0,0.0043549757,0,0.003567338,0.0059621409,0,0.026949944,0.1343309879,0.1497611403,0.1160025597,0.1815885305
0,0,1,0.0284165144,0,0,0,0,0.0099003315,0,0,0,0,0.0505962558,0.0505946018,0.0229229275,0.0229200367,0,0,0,0,0.4719998837,0.2309769988,0.8241695693,0,0.0501275063,0.1578204334,0,0,0,0.0687435269,0,0.0094905496,0,0.0869125128,0,0.0891000032,0.0040598214,0,0.0051317709,0,0.0035652891,0.0059606507,0,0.0285588466,0.1423478127,0.1587048173,0.1229271293,0.1924291253
0,0,1,0.0317007303,0,0,0,0,0.0099018216,0,0,0,0,0.0520595573,0.0520638227,0.0272931252,0.0272902623,0,0,0,0,0.4719998837,0.2314968109,0.8798702902,0,0.0525906682,0.1656331122,0,0,0,0.0739559531,0,0.0116363168,0,0.0931173563,0,0.0934787095,0.0045180321,0,0.0059775077,0,0.003564544,0.0059610233,0,0.0299811102,0.1494348049,0.1666083932,0.1290470362,0.2020150423
0,0,1,0.0349953771,0,0,0,0,0.0099018216,0,0,0,0,0.0534047969,0.0534001067,0.0320540518,0.0320513658,0,0,0,0,0.4719998837,0.2319997549,0.9322738862,0,0.0547029078,0.1723349094,0,0,0,0.078985095,0,0.013948977,0,0.0990241766,0,0.097232312,0.0050012022,0,0.0068895197,0,0.0035669655,0.0059625134,0,0.0312007591,0.1555159688,0.1733869314,0.1342967153,0.2102345079
0,0,1,0.0383034348,0,0,0,0,0.0098988414,0,0,0,0,0.0546400212,0.054642681,0.0371827222,0.0371902548,0,0,0,0,0.4719998837,0.2324827909,0.9810238898,0,0.0564463437,0.177859515,0,0,0,0.08379668,0,0.0164240599,0,0.1045957208,0,0.1003280282,0.0055104494,0,0.0078646317,0,0.0035649166,0.0059617683,0,0.0322064124,0.1605287194,0.1789718866,0.1386284828,0.2170041054
0,0,1,0.0415921211,0,0,0,0,0.0098988414,0,0,0,0,0.0557710044,0.0557676852,0.0426703356,0.0426660739,0,0,0,0,0.4719998837,0.2329435945,1,0,0.0578045845,0.1821704209,0,0,0,0.0883728266,0,0.0190526247,0,0.1097977161,0,0.1027435064,0.006043911,0,0.0088993292,0,0.0035658479,0.0059628859,0,0.032990884,0.1644417644,0.1833334565,0.1420080662,0.2222955227
0,0,1,0.0448599458,0,0,0,0,0.0099033117,0,0,0,0,0.0568093024,0.0568059906,0.048456382,0.0484509841,0,0,0,0,0.4719998837,0.2333803177,1,0,0.058773905,0.1852460206,0,0,0,0.0926926732,0,0.0218197703,0,0.1146167517,0,0.1044668257,0.0066034496,0,0.0099899089,0,0.0035654753,0.0059617683,0,0.0335505418,0.1672253013,0.186444819,0.1444160938,0.2260640264
0,0,1,0.048096478,0,0,0,0,0.0099018216,0,0,0,0,0.0577781349,0.0577717945,0.0544999391,0.0544944443,0,0,0,0,0.4719998837,0.2337915897,1,0,0.0593543053,0.1870833337,0,0,0,0.0967413187,0,0.0247180462,0,0.1190379262,0,0.1054957509,0.0071883202,0,0.0111326091,0,0.0035664067,0.0059626997,0,0.0338847861,0.1688912511,0.1883000135,0.1458540559,0.2283170819
0,0,1,0.0512912869,0,0,0,0,0.0099018216,0,0,0,0,0.0586909987,0.0586888641,0.060756918,0.0607529245,0,0,0,0,0.4719998837,0.2341768742,1,0,0.0595457852,0.1876890659,0,0,0,0.1005187631,0,0.0277414918,0,0.1230552793,0,0.1058369875,0.0077970326,0,0.0123237008,0,0.0035660341,0.0059612095,0,0.0339954644,0.1694425941,0.1889199018,0.1463294029,0.22906214
0,0,1,0.0544980168,0,0,0,0,0.0099018216,0,0,0,0,0.0595634617,0.0595642887,0.0671647266,0.0671592578,0,0,0,0,0.4719998837,0.2345500588,1,0,0.0591509044,0.1875177026,0,0,0,0.1042112708,0,0.0309765339,0,0.1268923283,0,0.1055702567,0.0084295869,0,0.0136490604,0,0.0035664067,0.0059626997,0,0.0339296572,0.1694247127,0.1888930798,0.1463279128,0.2289742231
0,0,1,0.057798624,0,0,0,0,0.0099003315,0,0,0,0,0.0604244918,0.0604226217,0.0736610442,0.073654376,0,0,0,0,0.4719998837,0.2349258065,1,0,0.0579603016,0.1870036125,0,0,0,0.1080170274,0,0.0345185399,0,0.1307845116,0,0.1047648489,0.009085983,0,0.0151978778,0,0.0035660341,0.0059615821,0,0.0337313339,0.1693561673,0.1888170838,0.1463279128,0.2287089825
0,0,1,0.061185658,0,0,0,0,0.0099018216,0,0,0,0,0.0612849742,0.0612812191,0.0801825523,0.0801786855,0,0,0,0,0.4719998837,0.235303998,1,0,0.0559695065,0.1861423254,0,0,0,0.1119375229,0,0.0383704901,0,0.1347258687,0,0.1034207642,0.009765476,0,0.0169709362,0,0.0035667792,0.0059625134,0,0.0333993956,0.1692518592,0.1887008548,0.1463279128,0.2282634377
0,0,1,0.0646680593,0,0,0,0,0.0099018216,0,0,0,0,0.0621635765,0.0621616393,0.0866808966,0.0866785422,0,0,0,0,0.4719998837,0.2356844544,1,0,0.0531688333,0.1849330962,0,0,0,0.1159697771,0,0.042527914,0,0.1387134194,0,0.1015327871,0.0104680657,0,0.0189682227,0,0.0035652891,0.0059625134,0,0.0329331681,0.1691028476,0.1885339618,0.1463249326,0.2276346087
0,0,1,0.0682324171,0,0,0,0,0.0099003315,0,0,0,0,0.0630774572,0.0630753934,0.0931010991,0.0931002796,0,0,0,0,0.4719998837,0.2360672951,1,0,0.0495642424,0.1833729446,0,0,0,0.1201048493,0,0.0469923019,0,0.1427412033,0,0.0991009176,0.0111907721,0,0.0211887937,0,0.0035649166,0.0059615821,0,0.0323324539,0.1689091325,0.1883208752,0.1463189721,0.2268180251
0,0,1,0.0718861818,0,0,0,0,0.0098973513,0,0,0,0,0.0640407279,0.0640343502,0.0994015411,0.0993992537,0,0,0,0,0.4719998837,0.2364522815,1,0,0.0451542437,0.1814641058,0,0,0,0.1243412495,0,0.0517517328,0,0.1468107104,0,0.0961221755,0.0119358301,0,0.0236306768,0,0.0035641715,0.0059610233,0,0.0315976031,0.1686796546,0.1880660653,0.1463159919,0.2258196473
0,0,1,0.0756278634,0,0,0,0,0.0099018216,0,0,0,0,0.0650615543,0.0650533885,0.1055360064,0.105531089,0,0,0,0,0.4719998837,0.2368391752,1,0,0.0399410725,0.1792035997,0,0,0,0.1286774874,0,0.0568062067,0,0.15091151,0,0.0925980508,0.0127006322,0.0001285225,0.0262907296,0,0.0035658479,0.0059638172,0,0.0307295788,0.1684144139,0.1877620816,0.1463100314,0.2246305346
0,0,1,0.0794604421,0,0,0,0,0.0099048018,0,0,0,0,0.0661438629,0.066144608,0.1114702523,0.1114680171,0,0,0,0,0.4719998837,0.2372279763,1,0,0.03394261,0.1765981317,0,0,0,0.1331016421,0,0.0621497631,0,0.1550391316,0,0.0885307789,0.0134855509,0.0001691282,0.0291645154,0,0.003567338,0.0059623271,0,0.0297300555,0.1680985093,0.1874163747,0.1462981105,0.2232566476
0,0,1,0.0833854079,0,0,0,0,0.0099003315,0,0,0,0,0.067310147,0.0673064664,0.1171819493,0.1171808988,0,0,0,0,0.4719998837,0.2376183271,1,0,0.0271685421,0.1736439764,0,0,0,0.1376062632,0,0.0677645206,0,0.1591846347,0,0.0839263201,0.0142894685,0.0002153218,0.0322461911,0,0.0035675243,0.0059619546,0,0.028601449,0.1677513123,0.1870304346,0.1462772489,0.2216979861
0,0,1,0.0873863697,0,0,0,0,0.0099003315,0,0,0,0,0.0685559735,0.0685506761,0.122650221,0.1226480678,0,0,0,0,0.4719998837,0.2380103469,1,0,0.0196397305,0.1703523099,0,0,0,0.1421928406,0,0.073646009,0,0.1633435488,0,0.0787876546,0.0151105225,0.0002667308,0.0355283804,0,0.0035647303,0.0059612095,0,0.0273470394,0.1673683524,0.186599791,0.1462593675,0.2199530452
0,0,1,0.0914752483,0,0,0,0,0.0099018216,0,0,0,0,0.0698812455,0.0698788017,0.1278614402,0.127860412,0,0,0,0,0.4719998837,0.2384033203,1,0,0.0113815069,0.166721642,0,0,0,0.1468360424,0,0.0797748566,0,0.1675099134,0,0.0731222332,0.0159502029,0.0003241003,0.0390020981,0,0.0035656616,0.0059630722,0,0.0259709917,0.1669451594,0.1861289144,0.1462325454,0.2180278152
0,0,1,0.095641613,0,0,0,0,0.0099018216,0,0,0,0,0.0712976977,0.0712923184,0.1327983886,0.1327896714,0,0,0,0,0.4719998837,0.2387974262,1,0,0.0024214387,0.1627586782,0,0,0,0.151540339,0,0.086133182,0,0.1716777682,0,0.0669412315,0.0168029219,0.0003878027,0.042656634,0,0.0035665929,0.0059619546,0,0.0244784262,0.1664862037,0.1856178045,0.1462072134,0.2159193009
0,0,1,0.0998809934,0,0,0,0,0.0099003315,0,0,0,0,0.0727996081,0.0727927312,0.137462765,0.1374592036,0,0,0,0,0.4719998837,0.2391919494,1,0.0071980059,0,0.1584768295,0,0,0,0.1562789083,0,0.0927090645,0,0.1758247614,0,0.0602565706,0.0176738948,0.0004548579,0.0464795083,0,0.0035660341,0.0059617683,0,0.0228754673,0.1659914851,0.1850619912,0.1461699605,0.2136424035
0,0,1,0.1041904092,0,0,0,0,0.0099003315,0,0,0,0,0.0743746981,0.0743737444,0.1420499384,0.142049402,0,0,0,0,0.4719998837,0.2395869493,1,0.0174388289,0,0.1538790762,0,0,0,0.1610532403,0,0.0994697213,0,0.1799538732,0,0.0530846417,0.0185560435,0.0005289912,0.0504564568,0,0.0035654753,0.0059626997,0,0.0211692676,0.1654595137,0.1844763756,0.1461178064,0.2112001032
